trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",20,0,-69.79704038556267,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",30,0,-144.67895484795366,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",25,0,-121.03186077809576,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",30,0,-110.64655657325562,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,0,-167.55659563441765,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",30,0,-136.49149513468691,"{0: 14, 1: 5, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",20,2,-72.41081728584865,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",25,0,-52.28758701024351,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",20,0,-106.04416162963089,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,0,-33.18364610929712,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",25,0,-31.486457005893254,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",35,8,-6.420019147308172,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",25,5,-15.780159543278014,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",25,13,-39.28990654701939,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",20,0,-46.972484439606525,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",20,0,-42.52409120759163,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",20,0,8.620511565491766,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",30,0,-25.203508627945332,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",30,0,27.435637523274654,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",20,0,19.95936845066075,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,4.121349063954643,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,28.768310603464624,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,12,9.949445090540937,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,29.110527983046573,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,12,10.910020840978078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,15.162620966258018,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,15.58224843442728,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,18,23.0366873943685,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,23,13.284611944886723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,15.684250539425394,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
