trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",30,0,-222.00067111748302,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.2, 'e': 0.99}",20,0,-92.8132740347881,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9801}",20,0,-122.96942301903557,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.970299}",20,0,-88.39335168946573,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.96059601}",20,0,-76.3996637953803,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.9509900498999999}",30,16,-68.99687716204087,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.2, 'e': 0.941480149401}",30,0,-90.79313462530845,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9320653479069899}",25,8,-41.937722566580774,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.2, 'e': 0.9227446944279201}",20,0,-82.40630770127706,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9135172474836408}",30,0,-107.66942913567448,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.9043820750088044}",20,0,-68.11480618053297,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8953382542587164}",30,0,-257.78929956704684,"{0: 13, 1: 7, 2: 4, 3: 2, 4: 4}",0
13,False,"{'a': 0.2, 'e': 0.8863848717161292}",20,0,-69.44978064029155,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.8775210229989678}",20,0,-82.7052170769082,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8687458127689782}",20,0,-115.80030603337136,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8600583546412884}",20,0,-48.08705448048511,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.8514577710948755}",25,0,-16.131227315848736,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.8429431933839268}",25,2,-119.47385673881166,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 1}",1
19,False,"{'a': 0.2, 'e': 0.8345137614500875}",25,0,-34.967076776097485,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.8261686238355866}",20,0,-191.11234598982637,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
21,False,"{'a': 0.2, 'e': 0.8179069375972308}",35,0,-74.31214521280339,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.8097278682212584}",20,6,-99.75936459920673,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
23,False,"{'a': 0.2, 'e': 0.8016305895390459}",35,0,-217.25857773068762,"{0: 22, 1: 4, 2: 3, 3: 2, 4: 4}",0
24,False,"{'a': 0.2, 'e': 0.7936142836436554}",25,0,-216.4819208523055,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
25,False,"{'a': 0.2, 'e': 0.7856781408072188}",20,0,-82.73289605420267,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.7778213593991467}",20,0,-112.35400812493718,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.7700431458051551}",20,14,-1.8903850699420737,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.7623427143471035}",25,0,-100.96684166467985,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.7547192872036326}",20,0,-75.68477841828233,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.7471720943315961}",20,0,-104.95352512915402,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.7397003733882802}",20,0,-48.86050250605415,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.7323033696543975}",25,14,-44.007242259928816,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.7249803359578534}",30,6,-27.369028881919235,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.2, 'e': 0.7177305325982749}",20,0,-137.22101763606986,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.2, 'e': 0.7105532272722921}",20,5,-43.16154372385578,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.2, 'e': 0.7034476949995692}",20,0,-34.28369481091388,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.6964132180495735}",20,0,-3.4897735426573684,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.6894490858690777}",25,0,-71.60020818545122,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.2, 'e': 0.682554595010387}",25,10,-45.22308426994797,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.6757290490602831}",30,6,-41.88650331253842,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.2, 'e': 0.6689717585696803}",20,0,-125.50143895719664,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.6622820409839835}",25,0,-90.54444358435691,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.6556592205741436}",25,0,-45.63411788196985,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.6491026283684022}",25,0,-53.27932225885834,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.6426116020847181}",20,0,-44.754609889305435,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.6361854860638709}",20,0,-29.81502774105983,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.6298236312032323}",20,0,-64.96164635098188,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.6235253948912}",20,0,-70.87311410355774,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.617290140942288}",20,6,-73.67074094672688,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
50,False,"{'a': 0.2, 'e': 0.611117239532865}",20,0,-77.80203572858485,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.2, 'e': 0.6050060671375364}",25,0,-161.3769740311605,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
52,False,"{'a': 0.2, 'e': 0.598956006466161}",20,0,-17.461243901630937,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.5929664464014994}",20,0,-80.61852951695023,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.5870367819374844}",25,2,12.143091034277832,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.5811664141181095}",25,0,-83.11122233518964,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.2, 'e': 0.5753547499769285}",20,0,-25.241181421711232,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.5696012024771592}",30,10,19.216163947943755,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.5639051904523875}",25,0,-99.15689205632262,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.5582661385478637}",20,0,-58.56986194161705,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.5526834771623851}",30,0,-17.726979286991522,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.5471566423907612}",20,0,-19.343712575591255,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.5416850759668536}",25,0,-6.751309299055182,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.536268225207185}",30,10,-164.9794595772522,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
64,False,"{'a': 0.2, 'e': 0.5309055429551132}",20,0,-4.384330620106588,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.525596487525562}",25,0,-28.38324006182907,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.2, 'e': 0.5203405226503064}",35,0,-2.6997638703196776,"{0: 30, 1: 4, 2: 0, 3: 1, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.5151371174238033}",30,8,-49.96046931621467,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.2, 'e': 0.5099857462495653}",25,13,21.62028071147321,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.5048858887870696}",20,0,-45.42815913734527,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.2, 'e': 0.4998370298991989}",20,0,-90.59592756936307,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.49483865960020695}",20,0,-12.83628667216455,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.4898902730042049}",25,0,1.0659388384584623,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.48499137027416284}",20,0,-60.547578253896916,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.4801414565714212}",30,9,-19.55725112643768,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.47534004200570695}",20,0,-21.603603400441642,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.4705866415856499}",20,0,-13.79063458371749,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.46588077516979337}",20,0,-45.114823340992984,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.2, 'e': 0.46122196741809546}",20,0,7.433627806087192,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.4566097477439145}",20,0,-20.51342500084362,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
