trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.1482062265436,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.84257103934058,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,1,-91.21194721414771,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.67715703195273,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.15452410166012,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.68192135337097,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.373472591536725,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.56592456047326,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.57334937672963,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.74873183398034,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.88663850331781,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.55419608951755,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.32297748453155,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.9643368973779,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.21965014562736,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-230.08214784196838,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.96941538802258,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.79027337331397,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.65082302068606,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.75047252767135,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.72624921384224,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.77560427535235,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-149.35604972355932,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.09521192641093,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.1653197507235,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,16,7.0891815323098255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.493160626226214,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.6479822027622,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.57105856747425,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.69555667634273,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
